CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9401400,2,1,2,M,59,0,3,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9602937,1,1,2,M,16,0,4,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9602937,1,2,2,F,18,0,3,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9602937,1,3,2,M,21,0,6,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9602937,2,1,4,M,21,5,-,P,W,1,"SAN LUIS OBISPO","PISMO BEACH",2023
92116283,2,1,2,F,6,7,B,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
91778032,1,1,1,M,17,7,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2022
91877175,1,1,1,F,59,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91877175,2,1,1,F,39,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91901287,2,1,1,F,23,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91945269,2,1,1,F,52,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91973099,1,1,2,-,77,7,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
91973099,1,2,1,M,80,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
92011409,1,1,1,M,27,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
92011409,2,1,1,F,25,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
92011409,2,2,2,F,29,6,3,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
92011409,3,1,1,F,32,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
91263848,1,1,1,M,44,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91275181,1,1,2,F,15,5,3,P,D,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91275181,1,2,2,M,20,6,2,P,D,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91350731,1,1,1,M,48,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91443237,1,1,1,F,25,6,1,M,G,0,"SAN LUIS OBISPO",ATASCADERO,2021
91562373,1,1,1,M,34,6,1,-,W,2,"SAN LUIS OBISPO",UNINCORPORATED,2021
91683575,2,1,2,M,86,6,3,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91683575,2,2,1,F,76,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
9662574,1,1,2,M,30,0,2,M,G,0,"SAN LUIS OBISPO","MORRO BAY",2023
9662574,1,2,1,M,27,4,1,M,G,0,"SAN LUIS OBISPO","MORRO BAY",2023
82169635,1,1,1,M,8,6,9,P,-,1,"SAN LUIS OBISPO","PASO ROBLES",2023
90753372,2,1,1,F,21,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90791150,2,1,1,F,35,5,1,P,W,1,"SAN LUIS OBISPO",UNINCORPORATED,2018
91156843,1,1,2,F,24,7,3,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2019
91156843,2,1,1,M,64,7,1,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2019
91187768,1,1,1,F,22,7,1,P,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
8698436,1,1,1,M,75,3,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8913635,2,1,2,M,48,4,9,P,G,0,"SAN LUIS OBISPO","PISMO BEACH",2019
8913635,2,2,2,F,30,0,4,P,G,0,"SAN LUIS OBISPO","PISMO BEACH",2019
9071962,1,1,1,F,18,4,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2020
9071962,1,2,2,M,18,0,3,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2020
9071962,1,3,2,M,18,0,6,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2020
9120352,1,1,1,F,19,4,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2020
9194880,2,1,2,F,57,4,3,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2020
9194880,2,2,2,F,78,0,4,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2020
9225101,1,1,2,F,96,1,2,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2021
9225101,2,1,2,M,40,4,2,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2021
91867830,2,1,1,F,21,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91867830,3,1,1,F,23,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91873349,1,1,1,M,30,6,1,P,P,2,"SAN LUIS OBISPO","ARROYO GRANDE",2022
91900041,2,1,1,F,44,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
90960548,1,1,1,F,26,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91361985,2,1,1,F,23,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91374297,1,1,1,M,26,7,1,M,B,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91564178,1,1,1,F,82,6,1,L,H,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91617865,1,1,1,F,39,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91693578,1,1,3,M,26,6,0,P,P,-,"SAN LUIS OBISPO",UNINCORPORATED,2022
